# soft core potential 

soft_core_lj 
N 10006  R  0.0001  2.0
  215    0.041800000    4.000000000    0.000000000
  216    0.042000000    4.000000000    0.000000000
  217    0.042200000    4.000000000    0.000000000
  218    0.042400000    4.000000000    0.000000000
  219    0.042600000    4.000000000    0.000000000
  220    0.042800000    4.000000000    0.000000000
  221    0.043000000    4.000000000    0.000000000
  222    0.043200000    4.000000000    0.000000000
  223    0.043400000    4.000000000    0.000000000
  224    0.043600000    4.000000000    0.000000000
  225    0.043800000    4.000000000    0.000000000
  226    0.044000000    4.000000000    0.000000000
  227    0.044200000    4.000000000    0.000000000
  228    0.044400000    4.000000000    0.000000000
  229    0.044600000    4.000000000    0.000000000
  230    0.044800000    4.000000000    0.000000000
  231    0.045000000    4.000000000    0.000000000
  232    0.045200000    4.000000000    0.000000000
  233    0.045400000    4.000000000    0.000000000
  234    0.045600000    4.000000000    0.000000000
  235    0.045800000    4.000000000    0.000000000
  236    0.046000000    4.000000000    0.000000000
  237    0.046200000    4.000000000    0.000000000
  238    0.046400000    4.000000000    0.000000000
  239    0.046600000    4.000000000    0.000000000
  240    0.046800000    4.000000000    0.000000000
  241    0.047000000    4.000000000    0.000000000
  242    0.047200000    4.000000000    0.000000000
  243    0.047400000    4.000000000    0.000000000
  244    0.047600000    4.000000000    0.000000000
  245    0.047800000    4.000000000    0.000000000
  246    0.048000000    4.000000000    0.000000000
  247    0.048200000    4.000000000    0.000000000
  248    0.048400000    4.000000000    0.000000000
  249    0.048600000    4.000000000    0.000000000
  250    0.048800000    4.000000000    0.000000000
  251    0.049000000    4.000000000    0.000000000
  252    0.049200000    4.000000000    0.000000000
  253    0.049400000    4.000000000    0.000000000
  254    0.049600000    4.000000000    0.000000000
  255    0.049800000    4.000000000    0.000000000
  256    0.050000000    4.000000000    0.000000000
  257    0.050200000    4.000000000    0.000000000
  258    0.050400000    4.000000000    0.000000000
  259    0.050600000    4.000000000    0.000000000
  260    0.050800000    4.000000000    0.000000000
  261    0.051000000    4.000000000    0.000000000
  262    0.051200000    4.000000000    0.000000000
  263    0.051400000    4.000000000    0.000000000
  264    0.051600000    4.000000000    0.000000000
  265    0.051800000    4.000000000    0.000000000
  266    0.052000000    4.000000000    0.000000000
  267    0.052200000    4.000000000    0.000000000
  268    0.052400000    4.000000000    0.000000000
  269    0.052600000    4.000000000    0.000000000
  270    0.052800000    4.000000000    0.000000000
  271    0.053000000    4.000000000    0.000000000
