15	12	E	-6594522.576403352	167
emissionprobs	4	11	H4k20me1	1	0.3096251447751632
emissionprobs	5	0	Dnase	0	0.6046908253428503
emissionprobs	5	0	Dnase	1	0.3953091746571497
emissionprobs	5	1	H2az	0	0.9430052375687856
emissionprobs	5	1	H2az	1	0.05699476243121439
emissionprobs	5	2	H3k27ac	0	0.35646177196512013
emissionprobs	5	2	H3k27ac	1	0.6435382280348799
emissionprobs	5	3	H3k27me3	0	0.9921997890146879
emissionprobs	5	3	H3k27me3	1	0.007800210985312126
emissionprobs	5	4	H3k36me3	0	0.26614604871483744
emissionprobs	5	4	H3k36me3	1	0.7338539512851626
emissionprobs	5	5	H3k4me1	0	0.0521928502674278
emissionprobs	5	5	H3k4me1	1	0.9478071497325723
emissionprobs	5	6	H3k4me2	0	0.2646228591167226
emissionprobs	5	6	H3k4me2	1	0.7353771408832773
emissionprobs	5	7	H3k4me3	0	0.6985613158183751
emissionprobs	5	7	H3k4me3	1	0.30143868418162495
emissionprobs	5	8	H3k79me2	0	0.15180124045130347
emissionprobs	5	8	H3k79me2	1	0.8481987595486965
emissionprobs	5	9	H3k9ac	0	0.5633362717875053
emissionprobs	5	9	H3k9ac	1	0.4366637282124947
emissionprobs	5	10	H3k9me3	0	0.9435119328996184
emissionprobs	5	10	H3k9me3	1	0.056488067100381664
emissionprobs	5	11	H4k20me1	0	0.4937122261105105
emissionprobs	5	11	H4k20me1	1	0.5062877738894894
emissionprobs	6	0	Dnase	0	0.09753839679084857
emissionprobs	6	0	Dnase	1	0.9024616032091514
emissionprobs	6	1	H2az	0	0.22779858950129997
emissionprobs	6	1	H2az	1	0.7722014104987001
emissionprobs	6	2	H3k27ac	0	0.04551686203184325
emissionprobs	6	2	H3k27ac	1	0.9544831379681568
emissionprobs	6	3	H3k27me3	0	0.8408012073859861
emissionprobs	6	3	H3k27me3	1	0.15919879261401396
emissionprobs	6	4	H3k36me3	0	0.5957493452446792
emissionprobs	6	4	H3k36me3	1	0.4042506547553209
emissionprobs	6	5	H3k4me1	0	0.11591151197193526
emissionprobs	6	5	H3k4me1	1	0.8840884880280648
emissionprobs	6	6	H3k4me2	0	9.185414016363188E-4
emissionprobs	6	6	H3k4me2	1	0.9990814585983636
emissionprobs	6	7	H3k4me3	0	0.015420312342579269
emissionprobs	6	7	H3k4me3	1	0.9845796876574207
emissionprobs	6	8	H3k79me2	0	0.07385620039541187
emissionprobs	6	8	H3k79me2	1	0.926143799604588
emissionprobs	6	9	H3k9ac	0	0.001377808037112156
emissionprobs	6	9	H3k9ac	1	0.9986221919628878
emissionprobs	6	10	H3k9me3	0	0.9308138300619199
emissionprobs	6	10	H3k9me3	1	0.06918616993808004
emissionprobs	6	11	H4k20me1	0	0.6709777766165156
emissionprobs	6	11	H4k20me1	1	0.32902222338348436
emissionprobs	7	0	Dnase	0	0.2112930348002321
emissionprobs	7	0	Dnase	1	0.7887069651997679
emissionprobs	7	1	H2az	0	0.12715918665115677
emissionprobs	7	1	H2az	1	0.8728408133488433
emissionprobs	7	2	H3k27ac	0	0.18780826727112848
emissionprobs	7	2	H3k27ac	1	0.8121917327288715
emissionprobs	7	3	H3k27me3	0	0.970520191405546
emissionprobs	7	3	H3k27me3	1	0.029479808594454114
emissionprobs	7	4	H3k36me3	0	0.966708497042981
emissionprobs	7	4	H3k36me3	1	0.03329150295701891
emissionprobs	7	5	H3k4me1	0	0.1138941982816087
emissionprobs	7	5	H3k4me1	1	0.8861058017183914
emissionprobs	7	6	H3k4me2	0	0.043395497721668806
emissionprobs	7	6	H3k4me2	1	0.9566045022783313
emissionprobs	7	7	H3k4me3	0	0.38196090842198405
emissionprobs	7	7	H3k4me3	1	0.618039091578016
emissionprobs	7	8	H3k79me2	0	0.944592058865377
emissionprobs	7	8	H3k79me2	1	0.055407941134623113
emissionprobs	7	9	H3k9ac	0	0.2199923934812669
emissionprobs	7	9	H3k9ac	1	0.7800076065187332
emissionprobs	7	10	H3k9me3	0	0.9382580575153997
emissionprobs	7	10	H3k9me3	1	0.06174194248460022
emissionprobs	7	11	H4k20me1	0	0.9814678856810283
emissionprobs	7	11	H4k20me1	1	0.018532114318971768
emissionprobs	8	0	Dnase	0	0.713127127533761
emissionprobs	8	0	Dnase	1	0.28687287246623916
emissionprobs	8	1	H2az	0	0.498743809538446
emissionprobs	8	1	H2az	1	0.5012561904615539
emissionprobs	8	2	H3k27ac	0	0.8598277060254461
emissionprobs	8	2	H3k27ac	1	0.1401722939745539
emissionprobs	8	3	H3k27me3	0	0.9623236477227644
emissionprobs	8	3	H3k27me3	1	0.03767635227723568
emissionprobs	8	4	H3k36me3	0	0.9847946291942172
emissionprobs	8	4	H3k36me3	1	0.015205370805782752
emissionprobs	8	5	H3k4me1	0	0.2125899327560631
emissionprobs	8	5	H3k4me1	1	0.7874100672439368
emissionprobs	8	6	H3k4me2	0	0.7300058022847713
emissionprobs	8	6	H3k4me2	1	0.26999419771522876
emissionprobs	8	7	H3k4me3	0	0.9728543642663044
emissionprobs	8	7	H3k4me3	1	0.027145635733695526
emissionprobs	8	8	H3k79me2	0	0.9892376179054788
emissionprobs	8	8	H3k79me2	1	0.01076238209452129
emissionprobs	8	9	H3k9ac	0	0.966419490145315
emissionprobs	8	9	H3k9ac	1	0.03358050985468495
emissionprobs	8	10	H3k9me3	0	0.957498447238877
emissionprobs	8	10	H3k9me3	1	0.04250155276112307
emissionprobs	8	11	H4k20me1	0	0.9701022098036127
emissionprobs	8	11	H4k20me1	1	0.02989779019638739
emissionprobs	9	0	Dnase	0	0.5099338650372867
emissionprobs	9	0	Dnase	1	0.4900661349627133
emissionprobs	9	1	H2az	0	0.38461261589721424
emissionprobs	9	1	H2az	1	0.6153873841027858
emissionprobs	9	2	H3k27ac	0	0.9040232415877103
emissionprobs	9	2	H3k27ac	1	0.09597675841228975
emissionprobs	9	3	H3k27me3	0	0.21952808064897208
emissionprobs	9	3	H3k27me3	1	0.780471919351028
emissionprobs	9	4	H3k36me3	0	0.9887561721329768
emissionprobs	9	4	H3k36me3	1	0.011243827867023095
emissionprobs	9	5	H3k4me1	0	0.27836035422801325
emissionprobs	9	5	H3k4me1	1	0.7216396457719867
emissionprobs	9	6	H3k4me2	0	0.11436866609549125
emissionprobs	9	6	H3k4me2	1	0.8856313339045088
emissionprobs	9	7	H3k4me3	0	0.3217847195214771
emissionprobs	9	7	H3k4me3	1	0.678215280478523
emissionprobs	9	8	H3k79me2	0	0.9811092434195345
emissionprobs	9	8	H3k79me2	1	0.018890756580465542
emissionprobs	9	9	H3k9ac	0	0.5711469161586913
emissionprobs	9	9	H3k9ac	1	0.42885308384130866
emissionprobs	9	10	H3k9me3	0	0.9263381694397734
emissionprobs	9	10	H3k9me3	1	0.07366183056022667
emissionprobs	9	11	H4k20me1	0	0.7031539022519602
emissionprobs	9	11	H4k20me1	1	0.29684609774803977
emissionprobs	10	0	Dnase	0	0.9957320266666734
emissionprobs	10	0	Dnase	1	0.004267973333326658
emissionprobs	10	1	H2az	0	0.9719109855943093
emissionprobs	10	1	H2az	1	0.028089014405690622
emissionprobs	10	2	H3k27ac	0	0.9991111258476659
emissionprobs	10	2	H3k27ac	1	8.888741523341429E-4
emissionprobs	10	3	H3k27me3	0	0.42844147386827947
emissionprobs	10	3	H3k27me3	1	0.5715585261317205
emissionprobs	10	4	H3k36me3	0	0.9997925959389818
emissionprobs	10	4	H3k36me3	1	2.0740406101818728E-4
emissionprobs	10	5	H3k4me1	0	0.9880439578744945
emissionprobs	10	5	H3k4me1	1	0.011956042125505459
emissionprobs	10	6	H3k4me2	0	0.9977240181240894
emissionprobs	10	6	H3k4me2	1	0.002275981875910584
emissionprobs	10	7	H3k4me3	0	0.9984031165911349
emissionprobs	10	7	H3k4me3	1	0.001596883408865123
emissionprobs	10	8	H3k79me2	0	0.9999778716382671
emissionprobs	10	8	H3k79me2	1	2.2128361732899476E-5
emissionprobs	10	9	H3k9ac	0	1.0
emissionprobs	10	9	H3k9ac	1	8.713669100105403E-54
emissionprobs	10	10	H3k9me3	0	0.9872961201803427
emissionprobs	10	10	H3k9me3	1	0.012703879819657262
emissionprobs	10	11	H4k20me1	0	0.9542682554049197
emissionprobs	10	11	H4k20me1	1	0.045731744595080275
emissionprobs	11	0	Dnase	0	0.9821424455522706
emissionprobs	11	0	Dnase	1	0.017857554447729483
emissionprobs	11	1	H2az	0	0.8844683035160031
emissionprobs	11	1	H2az	1	0.11553169648399693
emissionprobs	11	2	H3k27ac	0	0.9975256915326752
emissionprobs	11	2	H3k27ac	1	0.002474308467324753
emissionprobs	11	3	H3k27me3	0	0.12739675413646104
emissionprobs	11	3	H3k27me3	1	0.872603245863539
emissionprobs	11	4	H3k36me3	0	0.9986561857036096
emissionprobs	11	4	H3k36me3	1	0.001343814296390346
emissionprobs	11	5	H3k4me1	0	0.9237776001122828
emissionprobs	11	5	H3k4me1	1	0.07622239988771715
emissionprobs	11	6	H3k4me2	0	0.9939643698682176
emissionprobs	11	6	H3k4me2	1	0.006035630131782425
emissionprobs	11	7	H3k4me3	0	0.9964875128540575
emissionprobs	11	7	H3k4me3	1	0.0035124871459424997
emissionprobs	11	8	H3k79me2	0	0.9987481617214365
emissionprobs	11	8	H3k79me2	1	0.0012518382785635628
emissionprobs	11	9	H3k9ac	0	0.9723000401251841
emissionprobs	11	9	H3k9ac	1	0.027699959874815796
emissionprobs	11	10	H3k9me3	0	0.8976305962172867
emissionprobs	11	10	H3k9me3	1	0.10236940378271331
emissionprobs	11	11	H4k20me1	0	0.5742045478997371
emissionprobs	11	11	H4k20me1	1	0.42579545210026304
emissionprobs	12	0	Dnase	0	0.986863583043854
emissionprobs	12	0	Dnase	1	0.01313641695614601
emissionprobs	12	1	H2az	0	0.9774857763903013
emissionprobs	12	1	H2az	1	0.02251422360969867
emissionprobs	12	2	H3k27ac	0	0.9987921222484215
emissionprobs	12	2	H3k27ac	1	0.0012078777515785275
emissionprobs	12	3	H3k27me3	0	0.9846713725969575
emissionprobs	12	3	H3k27me3	1	0.015328627403042524
emissionprobs	12	4	H3k36me3	0	0.9905380282712555
emissionprobs	12	4	H3k36me3	1	0.00946197172874457
emissionprobs	12	5	H3k4me1	0	0.9757562522943662
emissionprobs	12	5	H3k4me1	1	0.024243747705633794
emissionprobs	12	6	H3k4me2	0	1.0
emissionprobs	12	6	H3k4me2	1	1.0158709357779244E-20
emissionprobs	12	7	H3k4me3	0	0.9997469592879601
emissionprobs	12	7	H3k4me3	1	2.5304071203983216E-4
emissionprobs	12	8	H3k79me2	0	0.9973231088017478
emissionprobs	12	8	H3k79me2	1	0.002676891198252253
emissionprobs	12	9	H3k9ac	0	0.9991751961920314
emissionprobs	12	9	H3k9ac	1	8.248038079685521E-4
emissionprobs	12	10	H3k9me3	0	0.9771713489271348
emissionprobs	12	10	H3k9me3	1	0.022828651072865264
emissionprobs	12	11	H4k20me1	0	0.9733194164453721
emissionprobs	12	11	H4k20me1	1	0.02668058355462799
emissionprobs	13	0	Dnase	0	0.9986414494370714
emissionprobs	13	0	Dnase	1	0.0013585505629285378
emissionprobs	13	1	H2az	0	0.996269872596233
emissionprobs	13	1	H2az	1	0.003730127403767065
emissionprobs	13	2	H3k27ac	0	0.9995582083909258
emissionprobs	13	2	H3k27ac	1	4.417916090741374E-4
emissionprobs	13	3	H3k27me3	0	0.9938194638186332
emissionprobs	13	3	H3k27me3	1	0.006180536181366854
emissionprobs	13	4	H3k36me3	0	0.9999047058207557
emissionprobs	13	4	H3k36me3	1	9.529417924410785E-5
emissionprobs	13	5	H3k4me1	0	0.9990460306412435
emissionprobs	13	5	H3k4me1	1	9.539693587566015E-4
emissionprobs	13	6	H3k4me2	0	0.9997050558705387
emissionprobs	13	6	H3k4me2	1	2.949441294612247E-4
emissionprobs	13	7	H3k4me3	0	0.9993675659254839
emissionprobs	13	7	H3k4me3	1	6.324340745160845E-4
emissionprobs	13	8	H3k79me2	0	0.999964775930168
emissionprobs	13	8	H3k79me2	1	3.5224069832086653E-5
emissionprobs	13	9	H3k9ac	0	0.9999895570829646
emissionprobs	13	9	H3k9ac	1	1.0442917035403219E-5
emissionprobs	13	10	H3k9me3	0	0.9680225027795759
emissionprobs	13	10	H3k9me3	1	0.03197749722042404
emissionprobs	13	11	H4k20me1	0	0.9981705447413366
emissionprobs	13	11	H4k20me1	1	0.0018294552586634756
emissionprobs	14	0	Dnase	0	0.9980952955741712
emissionprobs	14	0	Dnase	1	0.0019047044258287374
emissionprobs	14	1	H2az	0	0.9938853842838093
emissionprobs	14	1	H2az	1	0.006114615716190729
emissionprobs	14	2	H3k27ac	0	0.9994696801670977
